context	nb sameas	all_pair	ratio
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['skos:preflabel']['islocatedin', 'wascreatedondate', 'wascreatedonyear']	69	72	0.9583333333333334
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['actedin-inv', 'directed-inv', 'skos:preflabel']['islocatedin', 'wascreatedonyear']	8	18	0.4444444444444444
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['actedin-inv', 'created-inv', 'skos:preflabel']['edited-inv', 'wascreatedondate', 'wascreatedonyear']	7	30	0.23333333333333334
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['created-inv', 'directed-inv', 'skos:preflabel', 'wrotemusicfor-inv']['islocatedin', 'wascreatedondate', 'wascreatedonyear']	12	14	0.8571428571428571
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['actedin-inv', 'created-inv', 'directed-inv', 'skos:preflabel', 'wrotemusicfor-inv']['islocatedin', 'wascreatedonyear']	1	26	0.038461538461538464
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['actedin-inv', 'created-inv', 'directed-inv', 'islocatedin', 'skos:preflabel']['edited-inv', 'wascreatedondate', 'wascreatedonyear']	1	6	0.16666666666666666
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['directed-inv', 'skos:preflabel']['islocatedin', 'wascreatedonyear']	14	14	1.0
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['created-inv', 'skos:preflabel']['wascreatedonyear']	17	17	1.0
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['actedin-inv', 'created-inv', 'directed-inv', 'skos:preflabel', 'wrotemusicfor-inv']['edited-inv', 'islocatedin', 'wascreatedondate', 'wascreatedonyear']	4	69	0.057971014492753624
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['actedin-inv', 'created-inv', 'directed-inv', 'skos:preflabel']['edited-inv', 'wascreatedondate', 'wascreatedonyear']	11	58	0.1896551724137931
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['actedin-inv', 'created-inv', 'skos:preflabel']['wascreatedondate', 'wascreatedonyear']	14	55	0.2545454545454545
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['created-inv', 'skos:preflabel', 'wrotemusicfor-inv']['islocatedin', 'wascreatedondate', 'wascreatedonyear']	7	7	1.0
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['skos:preflabel', 'wrotemusicfor-inv']['edited-inv', 'islocatedin', 'wascreatedonyear']	1	1	1.0
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['directed-inv', 'skos:preflabel', 'wrotemusicfor-inv']['islocatedin', 'wascreatedondate', 'wascreatedonyear']	4	4	1.0
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['directed-inv', 'skos:preflabel']['wascreatedonyear']	9	9	1.0
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['directed-inv', 'skos:preflabel']['edited-inv', 'islocatedin', 'wascreatedondate', 'wascreatedonyear']	15	15	1.0
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['actedin-inv', 'created-inv', 'directed-inv', 'skos:preflabel']['edited-inv', 'wascreatedonyear']	4	27	0.14814814814814814
