context	nb sameas	all_pair	ratio
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'hasmotto', 'islocatedin']['owns', 'playsfor-inv', 'skos:preflabel', 'wascreatedonyear']	1	1	1.0
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'islocatedin']['skos:preflabel', 'wascreatedonyear']	2	3	0.6666666666666666
['graduatedfrom-inv', 'islocatedin']['skos:preflabel']['wascreatedonyear']	7	7	1.0
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'skos:preflabel']['hasmotto', 'owns', 'wascreatedonyear']	2	7	0.2857142857142857
['graduatedfrom-inv', 'islocatedin']['islocatedin', 'skos:preflabel']['playsfor-inv', 'wascreatedonyear']	1	1	1.0
['graduatedfrom-inv', 'islocatedin']['created', 'graduatedfrom-inv', 'skos:preflabel']['hasmotto', 'wascreatedonyear']	1	2	0.5
['graduatedfrom-inv', 'islocatedin']['skos:preflabel']['hasmotto', 'wascreatedonyear']	2	2	1.0
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'islocatedin', 'owns', 'skos:preflabel']['hasmotto', 'wascreatedonyear']	1	38	0.02631578947368421
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'islocatedin', 'skos:preflabel']['hasmotto', 'owns', 'playsfor-inv', 'wascreatedonyear']	1	211	0.004739336492890996
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'hasmotto', 'islocatedin', 'owns', 'skos:preflabel']['wascreatedonyear']	1	35	0.02857142857142857
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'islocatedin', 'skos:preflabel']['playsfor-inv', 'wascreatedonyear']	1	27	0.037037037037037035
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'hasmotto', 'islocatedin', 'skos:preflabel']['playsfor-inv', 'wascreatedonyear']	1	28	0.03571428571428571
['graduatedfrom-inv', 'islocatedin']['islocatedin', 'skos:preflabel']['hasmotto', 'wascreatedonyear']	4	7	0.5714285714285714
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'islocatedin', 'skos:preflabel']['created', 'wascreatedonyear']	1	21	0.047619047619047616
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'hasmotto', 'islocatedin', 'skos:preflabel']['owns', 'wascreatedonyear']	3	89	0.033707865168539325
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'islocatedin', 'skos:preflabel']['hasmotto', 'owns', 'wascreatedonyear']	3	165	0.01818181818181818
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv']['skos:preflabel', 'wascreatedonyear']	3	3	1.0
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'skos:preflabel', 'wascreatedonyear']['hasmotto', 'wascreatedondate']	1	1	1.0
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'islocatedin']['owns', 'skos:preflabel', 'wascreatedonyear']	1	1	1.0
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'skos:preflabel']['playsfor-inv', 'wascreatedonyear']	1	3	0.3333333333333333
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'hasmotto', 'skos:preflabel']['playsfor-inv', 'wascreatedonyear']	1	2	0.5
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'hasmotto', 'islocatedin', 'skos:preflabel']['created', 'wascreatedonyear']	1	22	0.045454545454545456
['graduatedfrom-inv', 'islocatedin']['graduatedfrom-inv', 'islocatedin', 'skos:preflabel']['wascreatedondate', 'wascreatedonyear']	1	11	0.09090909090909091
['graduatedfrom-inv', 'islocatedin']['skos:preflabel']['hasmotto', 'playsfor-inv', 'wascreatedonyear']	1	1	1.0
